Date,Prediction
16/12/2006,1535.394
17/12/2006,1439.881
18/12/2006,2338.457
19/12/2006,1960.789
20/12/2006,1730.996
21/12/2006,1962.454
22/12/2006,1706.81
23/12/2006,2011.202
24/12/2006,3075.326
25/12/2006,2243.453
26/12/2006,2364.318
27/12/2006,2858.966
28/12/2006,1812.067
29/12/2006,2095.785
30/12/2006,2504.958
31/12/2006,2283.039
01/01/2007,2788.899
02/01/2007,2431.185
03/01/2007,1946.384
04/01/2007,1548.266
05/01/2007,2217.991
06/01/2007,1835.17
07/01/2007,1684.823
08/01/2007,1512.983
09/01/2007,1482.107
10/01/2007,1834.291
11/01/2007,1755.239
12/01/2007,1279.585
13/01/2007,2371.981
14/01/2007,2393.341
15/01/2007,2417.915
16/01/2007,2184.495
17/01/2007,1792.494
18/01/2007,2317.437
19/01/2007,1980.496
20/01/2007,1688.086
21/01/2007,2459.309
22/01/2007,2590.98
23/01/2007,2095.324
24/01/2007,2023.397
25/01/2007,2362.49
26/01/2007,1834.023
27/01/2007,1906.665
28/01/2007,1955.221
29/01/2007,2382.951
30/01/2007,2106.562
31/01/2007,1852.733
01/02/2007,2124.783
02/02/2007,1731.495
03/02/2007,1773.06
04/02/2007,1357.132
05/02/2007,1849.445
06/02/2007,1487.7
07/02/2007,1667.986
08/02/2007,1471.149
09/02/2007,1404.132
10/02/2007,1710.78
11/02/2007,1924.761
12/02/2007,1634.852
13/02/2007,2280.855
14/02/2007,1679.188
15/02/2007,2056.474
16/02/2007,1966.507
17/02/2007,1729.899
18/02/2007,1938.367
19/02/2007,2674.289
20/02/2007,2036.11
21/02/2007,2481.949
22/02/2007,2068.851
23/02/2007,2466.916
24/02/2007,1828.177
25/02/2007,1402.097
26/02/2007,1241.139
27/02/2007,1264.936
28/02/2007,1163.48
01/03/2007,1164.708
02/03/2007,1370.553
03/03/2007,2568.02
04/03/2007,1458.546
05/03/2007,1703.507
06/03/2007,1468.401
07/03/2007,1781.252
08/03/2007,1502.858
09/03/2007,1393.665
10/03/2007,1357.355
11/03/2007,1485.392
12/03/2007,1121.243
13/03/2007,1605.794
14/03/2007,1486.94
15/03/2007,1627.952
16/03/2007,1749.344
17/03/2007,1657.002
18/03/2007,1777.088
19/03/2007,1976.33
20/03/2007,1876.831
21/03/2007,1870.357
22/03/2007,1916.325
23/03/2007,1596.844
24/03/2007,1534.713
25/03/2007,2198.865
26/03/2007,2391.6
27/03/2007,1716.103
28/03/2007,1523.971
29/03/2007,1916.271
30/03/2007,1684.119
31/03/2007,1620.06
01/04/2007,2430.436
02/04/2007,2433.965
03/04/2007,2652.584
04/04/2007,2076.833
05/04/2007,1958.289
06/04/2007,1558.524
07/04/2007,1406.968
08/04/2007,1418.986
09/04/2007,1477.56
10/04/2007,1628.447
11/04/2007,1635.898
12/04/2007,1626.472
13/04/2007,1844.935
14/04/2007,1260.003
15/04/2007,1186.752
16/04/2007,1215.752
17/04/2007,1269.254
18/04/2007,1419.156
19/04/2007,1320.85
20/04/2007,1305.262
21/04/2007,1242.891
22/04/2007,1542.56
23/04/2007,1814.578
24/04/2007,1394.343
25/04/2007,1328.175
26/04/2007,1399.991
27/04/2007,1391.695
28/04/2007,1337.473
29/04/2007,1137.284
30/04/2007,1024.31
01/05/2007,1074.871
02/05/2007,1901.669
03/05/2007,1574.487
04/05/2007,1997.463
05/05/2007,1729.751
06/05/2007,1541.583
07/05/2007,1548.395
08/05/2007,1325.266
09/05/2007,1175.259
10/05/2007,1385.828
11/05/2007,1402.714
12/05/2007,1473.105
13/05/2007,1794.484
14/05/2007,1560.597
15/05/2007,1515.65
16/05/2007,1299.012
17/05/2007,1513.026
18/05/2007,1408.552
19/05/2007,1552.095
20/05/2007,1457.064
21/05/2007,1701.77
22/05/2007,1382.865
23/05/2007,1324.24
24/05/2007,1486.708
25/05/2007,1333.714
26/05/2007,1517.98
27/05/2007,1524.6
28/05/2007,1743.137
29/05/2007,1606.006
30/05/2007,1357.337
31/05/2007,1525.024
01/06/2007,1278.529
02/06/2007,1476.545
03/06/2007,1401.661
04/06/2007,1370.818
05/06/2007,1532.541
06/06/2007,1736.256
07/06/2007,1608.402
08/06/2007,1367.019
09/06/2007,1318.092
10/06/2007,1218.926
11/06/2007,1566.799
12/06/2007,1730.93
13/06/2007,1928.385
14/06/2007,1357.616
15/06/2007,1399.058
16/06/2007,1284.108
17/06/2007,1675.188
18/06/2007,1714.306
19/06/2007,1198.078
20/06/2007,1218.09
21/06/2007,1278.028
22/06/2007,1148.558
23/06/2007,1076.438
24/06/2007,986.3337
25/06/2007,1046.918
26/06/2007,1229.903
27/06/2007,1162.729
28/06/2007,1383.524
29/06/2007,1358.868
30/06/2007,1325.319
01/07/2007,1366.449
02/07/2007,1821.239
03/07/2007,1818.57
04/07/2007,1893.906
05/07/2007,1579.972
06/07/2007,1548.358
07/07/2007,1310.379
08/07/2007,1402.901
09/07/2007,1457.803
10/07/2007,1420.733
11/07/2007,1727.164
12/07/2007,1656.981
13/07/2007,1639.731
14/07/2007,1248.263
15/07/2007,1372.606
16/07/2007,1295.165
17/07/2007,1189.336
18/07/2007,1126.459
19/07/2007,1115.767
20/07/2007,1065.913
21/07/2007,1241.473
22/07/2007,1228.955
23/07/2007,1355.15
24/07/2007,1229.998
25/07/2007,1126.507
26/07/2007,972.6913
27/07/2007,1124.667
28/07/2007,1239.63
29/07/2007,1436.215
30/07/2007,940.2828
31/07/2007,924.8332
01/08/2007,1054.739
02/08/2007,1624.676
03/08/2007,1553.749
04/08/2007,1473.011
05/08/2007,1480.662
06/08/2007,1546.323
07/08/2007,1721.167
08/08/2007,1317.737
09/08/2007,1283.174
10/08/2007,1420.872
11/08/2007,1254.765
12/08/2007,1431.725
13/08/2007,1742.85
14/08/2007,1325.274
15/08/2007,1244.288
16/08/2007,1307.964
17/08/2007,1167.553
18/08/2007,1238.975
19/08/2007,937.4288
20/08/2007,1302.393
21/08/2007,1368.176
22/08/2007,1043.948
23/08/2007,1262.171
24/08/2007,1249.118
25/08/2007,1425.787
26/08/2007,1302.695
27/08/2007,1332.489
28/08/2007,1278.251
29/08/2007,1212.45
30/08/2007,1082.846
31/08/2007,1237.226
01/09/2007,1304.305
02/09/2007,1540.25
03/09/2007,1485.864
04/09/2007,1351.74
05/09/2007,1219.308
06/09/2007,1465.632
07/09/2007,1269.874
08/09/2007,1280.172
09/09/2007,1242.355
10/09/2007,1462.392
11/09/2007,1514.839
12/09/2007,1727.502
13/09/2007,1803.579
14/09/2007,1370.633
15/09/2007,1323.642
16/09/2007,1275.446
17/09/2007,1482.684
18/09/2007,1460.164
19/09/2007,1320.779
20/09/2007,1365.384
21/09/2007,1352.031
22/09/2007,1326.782
23/09/2007,1316.343
24/09/2007,1402.996
25/09/2007,1379.507
26/09/2007,1563.907
27/09/2007,1610.183
28/09/2007,1437.669
29/09/2007,1561.425
30/09/2007,1807.782
01/10/2007,1524.224
02/10/2007,1794.879
03/10/2007,2081.478
04/10/2007,1978.103
05/10/2007,1342.53
06/10/2007,1190.694
07/10/2007,1389.631
08/10/2007,1254.62
09/10/2007,1279.24
10/10/2007,1305.557
11/10/2007,1325.003
12/10/2007,1924.974
13/10/2007,1650.36
14/10/2007,1711.46
15/10/2007,1798.732
16/10/2007,1435.824
17/10/2007,1726.86
18/10/2007,1594.962
19/10/2007,1511.666
20/10/2007,1809.136
21/10/2007,1621.566
22/10/2007,1715.535
23/10/2007,1674.207
24/10/2007,1721.713
25/10/2007,1727.188
26/10/2007,1751.112
27/10/2007,1534.607
28/10/2007,1686.628
29/10/2007,1182.739
30/10/2007,1085.057
31/10/2007,1209.251
01/11/2007,1361.075
02/11/2007,1787.387
03/11/2007,2422.862
04/11/2007,2454.841
05/11/2007,1464.713
06/11/2007,1400.702
07/11/2007,1224.354
08/11/2007,1168.615
09/11/2007,1358.318
10/11/2007,1250.989
11/11/2007,1577.459
12/11/2007,1714.137
13/11/2007,1839.345
14/11/2007,1895.606
15/11/2007,1836.28
16/11/2007,1565.968
17/11/2007,1921.881
18/11/2007,2061.634
19/11/2007,1897.912
20/11/2007,1771.107
21/11/2007,1850.455
22/11/2007,1712.098
23/11/2007,1826.477
24/11/2007,2035.623
25/11/2007,1811.813
26/11/2007,1637.607
27/11/2007,1634.201
28/11/2007,2124.499
29/11/2007,1761.283
30/11/2007,1726.917
01/12/2007,1985.426
02/12/2007,1643.955
03/12/2007,1788.604
04/12/2007,1843.087
05/12/2007,1229.57
06/12/2007,1565.242
07/12/2007,1351.356
08/12/2007,1338.86
09/12/2007,1486.273
10/12/2007,1440.886
11/12/2007,1699.609
12/12/2007,1890.482
13/12/2007,1616.182
14/12/2007,1738.959
15/12/2007,1819.146
16/12/2007,2077.127
17/12/2007,2203.77
18/12/2007,1826.121
19/12/2007,2093.535
20/12/2007,1997.099
21/12/2007,1855.665
22/12/2007,1876.005
23/12/2007,2134.209
24/12/2007,2067.684
25/12/2007,2041.191
26/12/2007,2218.529
27/12/2007,2170.391
28/12/2007,2193.383
29/12/2007,2436.076
30/12/2007,2524.532
31/12/2007,2291.816
01/01/2008,2127.082
02/01/2008,2299.864
03/01/2008,1842.497
04/01/2008,1623.287
05/01/2008,1973.502
06/01/2008,1354.747
07/01/2008,1819.464
08/01/2008,1598.58
09/01/2008,1322.717
10/01/2008,1566.365
11/01/2008,1767.43
12/01/2008,1359.087
13/01/2008,1708.555
14/01/2008,2177.746
15/01/2008,1893.983
16/01/2008,2242.686
17/01/2008,1972.703
18/01/2008,1715.263
19/01/2008,2027.304
20/01/2008,1854.18
21/01/2008,1786.028
22/01/2008,1894.261
23/01/2008,1967.467
24/01/2008,1877.984
25/01/2008,1802.633
26/01/2008,1936.29
27/01/2008,2269.78
28/01/2008,2138.138
29/01/2008,2052.852
30/01/2008,2262.642
31/01/2008,1827.713
01/02/2008,1894.298
02/02/2008,1819.831
03/02/2008,2268.478
04/02/2008,1639.587
05/02/2008,1799.684
06/02/2008,1688.195
07/02/2008,1484.751
08/02/2008,1537.089
09/02/2008,1203.131
10/02/2008,1518.87
11/02/2008,1569.667
12/02/2008,1326.796
13/02/2008,1710.644
14/02/2008,1783.309
15/02/2008,1631.181
16/02/2008,1860.908
17/02/2008,1974.699
18/02/2008,1810.474
19/02/2008,1703.247
20/02/2008,1867.906
21/02/2008,1937.426
22/02/2008,1759.119
23/02/2008,1728.209
24/02/2008,1766.925
25/02/2008,1563.427
26/02/2008,1191.044
27/02/2008,1140.979
28/02/2008,1137.135
29/02/2008,1071.902
01/03/2008,1418.287
02/03/2008,1513.706
03/03/2008,1752.939
04/03/2008,1401.473
05/03/2008,1363.326
06/03/2008,1419.837
07/03/2008,1547.28
08/03/2008,1357.991
09/03/2008,1095.683
10/03/2008,1410.193
11/03/2008,1515.226
12/03/2008,1232.573
13/03/2008,1588.562
14/03/2008,1559.468
15/03/2008,1793.318
16/03/2008,1610.435
17/03/2008,1631.867
18/03/2008,1631.458
19/03/2008,1717.54
20/03/2008,1459.927
21/03/2008,1434.354
22/03/2008,1748.415
23/03/2008,1757.226
24/03/2008,1925.264
25/03/2008,1803.899
26/03/2008,1783.837
27/03/2008,1673.531
28/03/2008,1521.031
29/03/2008,1705.9
30/03/2008,1992.263
31/03/2008,1878.141
01/04/2008,1583.888
02/04/2008,1929.155
03/04/2008,1656.649
04/04/2008,1675.776
05/04/2008,1680.985
06/04/2008,1548.059
07/04/2008,1635.742
08/04/2008,1369.225
09/04/2008,1360.996
10/04/2008,1447.552
11/04/2008,1772.001
12/04/2008,1592.272
13/04/2008,1692.894
14/04/2008,1874.366
15/04/2008,1624.411
16/04/2008,1684.364
17/04/2008,1574.354
18/04/2008,1505.283
19/04/2008,1739.819
20/04/2008,1875.828
21/04/2008,1723.416
22/04/2008,1499.794
23/04/2008,1598.779
24/04/2008,1504.394
25/04/2008,1391.71
26/04/2008,1429.424
27/04/2008,1280.133
28/04/2008,1317.782
29/04/2008,1146.651
30/04/2008,1655.324
01/05/2008,1378.297
02/05/2008,1769.317
03/05/2008,1970.875
04/05/2008,1800.355
05/05/2008,1796.152
06/05/2008,1545.626
07/05/2008,1378.975
08/05/2008,1532.683
09/05/2008,1253.168
10/05/2008,1228.251
11/05/2008,1526.466
12/05/2008,2159.204
13/05/2008,1844.031
14/05/2008,1620.196
15/05/2008,1596.403
16/05/2008,1400.357
17/05/2008,1613.276
18/05/2008,1607.132
19/05/2008,1662.355
20/05/2008,1401.325
21/05/2008,1545.43
22/05/2008,1461.503
23/05/2008,1324.298
24/05/2008,1493.406
25/05/2008,1543.611
26/05/2008,1758.73
27/05/2008,1478.758
28/05/2008,1610.848
29/05/2008,1395.454
30/05/2008,1350.336
31/05/2008,1466.42
01/06/2008,1561.743
02/06/2008,1651.431
03/06/2008,1623.719
04/06/2008,1948.782
05/06/2008,1670.564
06/06/2008,1695.939
07/06/2008,1460.173
08/06/2008,1645.151
09/06/2008,1088.374
10/06/2008,1624.2
11/06/2008,1500.371
12/06/2008,1550.572
13/06/2008,1980.881
14/06/2008,1726.984
15/06/2008,1535.253
16/06/2008,1909.17
17/06/2008,1475.267
18/06/2008,1418.464
19/06/2008,1728.832
20/06/2008,1543.401
21/06/2008,1656.28
22/06/2008,1687.519
23/06/2008,1539.456
24/06/2008,1497.461
25/06/2008,1651.185
26/06/2008,1416.084
27/06/2008,1394.217
28/06/2008,1619.328
29/06/2008,1384.172
30/06/2008,1254.183
01/07/2008,1196.267
02/07/2008,1511.275
03/07/2008,1549.427
04/07/2008,1651.099
05/07/2008,1543.349
06/07/2008,1415.567
07/07/2008,1648.342
08/07/2008,1313.101
09/07/2008,1028.979
10/07/2008,1383.983
11/07/2008,1540.749
12/07/2008,1557.467
13/07/2008,1918.758
14/07/2008,1442.955
15/07/2008,1376.523
16/07/2008,1369.507
17/07/2008,1268.649
18/07/2008,1416.946
19/07/2008,1387.767
20/07/2008,1380.571
21/07/2008,1277.622
22/07/2008,1306.418
23/07/2008,1122.821
24/07/2008,1218.689
25/07/2008,1248.02
26/07/2008,1149.671
27/07/2008,1155.723
28/07/2008,1242.26
29/07/2008,1121.629
30/07/2008,1277.383
31/07/2008,1309.728
01/08/2008,1359.766
02/08/2008,1669.865
03/08/2008,1635.652
04/08/2008,1789.459
05/08/2008,2013.045
06/08/2008,1784.712
07/08/2008,1579.394
08/08/2008,1386.116
09/08/2008,962.0585
10/08/2008,1358.539
11/08/2008,1603.95
12/08/2008,1554.621
13/08/2008,1695.651
14/08/2008,1013.599
15/08/2008,901.4887
16/08/2008,926.513
17/08/2008,823.5737
18/08/2008,847.0315
19/08/2008,859.3099
20/08/2008,776.5093
21/08/2008,812.5593
22/08/2008,796.6104
23/08/2008,737.4498
24/08/2008,774.1083
25/08/2008,742.7847
26/08/2008,702.6509
27/08/2008,741.4895
28/08/2008,701.6321
29/08/2008,687.9902
30/08/2008,714.8964
31/08/2008,673.2854
01/09/2008,1177.98
02/09/2008,1382.57
03/09/2008,1526.799
04/09/2008,1381.44
05/09/2008,1221.313
06/09/2008,1406.652
07/09/2008,1279.674
08/09/2008,1096.072
09/09/2008,848.7336
10/09/2008,1129.2
11/09/2008,1491.556
12/09/2008,1801.149
13/09/2008,1644.914
14/09/2008,1484.21
15/09/2008,1449.76
16/09/2008,1489.434
17/09/2008,1306.726
18/09/2008,1416.195
19/09/2008,1415.527
20/09/2008,1421.426
21/09/2008,1358.6
22/09/2008,1427.192
23/09/2008,1368.869
24/09/2008,1323.553
25/09/2008,1506.801
26/09/2008,1288.677
27/09/2008,1400.401
28/09/2008,1694.507
29/09/2008,1558.195
30/09/2008,1494.13
01/10/2008,1425.508
02/10/2008,1599.731
03/10/2008,1783.255
04/10/2008,1568.317
05/10/2008,1489.845
06/10/2008,1676.799
07/10/2008,1321.818
08/10/2008,1377.138
09/10/2008,1018.925
10/10/2008,1303.767
11/10/2008,1465.894
12/10/2008,1711.223
13/10/2008,1811.738
14/10/2008,1536.171
15/10/2008,1552.433
16/10/2008,1775.904
17/10/2008,1573.612
18/10/2008,1681.952
19/10/2008,1848.548
20/10/2008,1748.851
21/10/2008,1653.001
22/10/2008,1793.578
23/10/2008,1619.915
24/10/2008,1711.544
25/10/2008,1837.676
26/10/2008,1613.268
27/10/2008,1193.574
28/10/2008,1105.999
29/10/2008,1374.376
30/10/2008,1549.886
