Date,Prediction
2007-05,53487.5986
2007-06,44669.4008
2007-07,45803.0783
2007-08,43425.4248
2007-09,40463.1518
2007-10,52363.5207
2007-11,53098.0430
2007-12,34574.2156
2008-01,47993.9836
2008-02,51785.9339
2008-03,44042.7361
2008-04,49898.6004
2008-05,45471.4921
2008-06,51546.0631
2008-07,47846.3670
2008-08,41864.3250
2008-09,47746.3676
2008-10,45457.8884
2008-11,39930.0556
2008-12,45816.1417
2009-01,42607.2977
2009-02,56744.1312
2009-03,48938.4559
2009-04,45157.9183
2009-05,41563.6076
2009-06,44283.0786
2009-07,50322.2866
2009-08,50539.0495
2009-09,38349.2040
2009-10,45541.8571
2009-11,53232.9155
2009-12,39114.6536
2010-01,50237.1603
2010-02,44030.9659
2010-03,42939.5270
2010-04,47288.8674
2010-05,42339.5748
2010-06,42692.1193
2010-07,45218.7968
2010-08,55991.5528
2010-09,38551.6927
2010-10,39555.9798
2010-11,44230.3343
2010-12,51639.4227
