Date;Global_active_power
2006-12;41813.282
2007-01;63795.714
2007-02;46563.028
2007-03;55277.564
2007-04;38641.408
2007-05;47374.472
2007-06;38546.790
2007-07;38423.900
2007-08;40544.308
2007-09;44425.620
2007-10;48590.140
2007-11;56936.302
2007-12;63588.940
2008-01;58467.974
2008-02;42662.356
2008-03;50629.872
2008-04;45366.274
2008-05;48710.458
2008-06;46534.182
2008-07;39115.266
2008-08;27063.054
2008-09;45862.270
2008-10;48902.206
2008-11;56791.550
2008-12;54787.632
2009-01;58969.618
2009-02;42706.432
2009-03;50067.292
2009-04;47340.342
2009-05;44367.596
2009-06;35898.104
2009-07;33337.404
2009-08;40593.462
2009-09;44777.598
2009-10;52890.176
2009-11;55345.032
2009-12;56022.142
2010-01;52828.090
2010-02;45000.990
2010-03;48173.034
2010-04;43277.302
2010-05;46480.264
2010-06;40727.810
2010-07;33649.746
2010-08;33436.120
2010-09;36433.196
2010-10;48716.518
2010-11;39635.242
2010-12;16936.790
